date,calib_params,train_mse,train_mape,test_mse,test_mape
2021-02-01,"[0.13123091092200756, 1.3369156199562409, 120.87605060597676, 6.814761085057947, 3.0671103968200915e-11]",3625.471317619523,0.2849678827337265,4354.4321836676,0.2687669693169938
2021-02-02,"[0.09761515269392868, 1.643886089996703, 55.68348942980938, 6.766237176969144, 4.0779865698367874e-05]",3872.1990116631905,0.3211184125347007,6111.606423009739,0.2563311203404097
2021-02-03,"[0.11424136486436315, 1.0355436868481789, 112.26481923524781, 5.888902551411993, 2.4034200194809594e-10]",4830.788171771307,0.24208260301117882,2994.6122355132725,0.26836420566481456
2021-02-04,"[0.1288636033222859, 0.9829545249679323, 89.26787088925522, 5.913201883190226, 6.233759995145044e-05]",2888.5413909449044,0.2401187724843792,3373.3712516629807,0.21924243717610487
2021-02-05,"[0.11195236380521648, 1.219167081175767, 127.80856067761052, 6.3690145799824425, 1.4884904845401327e-09]",3287.3724103268128,0.24497314180276006,3132.2342402334134,0.21904568602637992
2021-02-17,"[0.08964593146073158, 12.175009470078773, 88.96348761558431, 7.876760319384049, 0.8437522107402953]",2858.6891127324516,0.2307644550288643,8134.250599118984,0.18826344012262322
2021-02-18,"[0.10657812148619486, 1.1874991601488083, 135.0046947694487, 6.676639082728583, 0.020934508015979875]",6346.053601890611,0.1948075656936903,5015.943501359833,0.2017123221719172
2021-02-19,"[0.11156962619308981, 1.5540789460589357, 228.72864172513377, 7.789188891288919, 0.021092413486712064]",4771.701723441046,0.18552941041926038,5349.06076353936,0.20802575019269964
2021-02-22,"[0.12136777669997907, 1.4579459869026155, 138.53479856421404, 7.207775440108207, 0.12753874041064975]",5326.200521061072,0.19249686544966316,3713.849269694816,0.2033836680696996
2021-02-23,"[0.13412397868565093, 1.1908280698661633, 210.96469375202992, 7.422062133604916, 4.6833464155580787e-11]",3616.528182511126,0.18002136774492603,3870.176338880847,0.18989189067368267
2021-02-24,"[0.12844095943002082, 1.0560782317493087, 116.85899291168238, 6.698086217922655, 1.7033400597641094e-11]",3819.8253842520126,0.2028215792055404,4083.3713894927923,0.23028654321148692
2021-02-25,"[0.12409615396167609, 1.9455581569274738, 209.80657798659752, 9.465968918905727, 1.0584270569598479e-10]",3938.674419664539,0.2243825632948877,5874.222849629671,0.1760986515520723
2021-02-26,"[0.10761736428781624, 1.5182367756557222, 119.75252629054899, 8.12667591631577, 3.175535941208615e-11]",5452.777155946027,0.22321042908757346,6459.8452115189175,0.2927593874289935
2021-03-02,"[7.498125582001481e-05, 7.826479451914707, 15.441479427133052, 16.131319113119545, 6.010614913488518e-06]",5769.384553899078,0.3031484531221725,3814.0477064171314,0.32096418476209465
2021-03-03,"[0.120539311927205, 2.6096741118591287, 117.27898310768414, 8.941028348929535, 0.22865152240128012]",3245.6823096846024,0.26469979509147595,2773.0896416352575,0.20842480418156806
2021-03-04,"[0.11052217605894112, 2.292438561038508, 104.49024295043601, 9.521531417223132, 0.010408120555067839]",2729.482219718005,0.22795643366247398,4549.957710689763,0.31763692083594175
2021-03-05,"[0.12954186779377577, 1.1050626149335492, 192.03139967662037, 6.166517250538552, 1.1585581993348752e-11]",4340.639275082608,0.29333740525085766,6534.4454196926035,0.284586182383517
2021-03-08,"[0.11590614744425544, 1.655501236563433, 178.43716635073997, 6.965272950170268, 1.202243790384065e-10]",5924.344007124895,0.29861153802069396,2951.747923771287,0.2882758303008242
2021-03-09,"[0.1394687619929566, 1.3660431900958745, 133.76774841430836, 6.756862908953255, 3.277013857518051e-11]",2774.375882121251,0.24528953848015686,3633.9084976981667,0.26621229599878843
2021-03-10,"[0.11082171424837994, 1.7996012510757815, 116.9390915565987, 6.856200406389343, 0.1052120506683753]",3327.1160456299967,0.3078085979351782,2803.486565529039,0.31095696516473675
2021-03-11,"[0.13202865550657994, 1.3469155634046102, 147.44217772816808, 7.165954971724003, 2.220245949477419e-10]",2382.996254883155,0.2721305274678125,3634.3541743798637,0.19664711740688579
2021-03-12,"[0.10319336269922258, 1.8199719780813335, 470.2979375450783, 8.240839026566155, 0.0016180720703314177]",3285.270576909317,0.24068926571486807,1718.71903121876,0.24227424465406458
2021-03-15,"[0.024649240311381257, 14.421937797367598, 2.0000000000338365, 25.0573397243649, 5.327539479882732e-12]",1905.9512689092203,0.2836919293017396,2854.5134058241283,0.3075381077541962
2021-03-16,"[0.10390177502536288, 1.9635801715295345, 193.85809512551464, 8.38999375598388, 0.00595180576732398]",2421.4276476133687,0.2415695867393469,4906.075380908753,0.18869966285159226
2021-03-17,"[0.0880365308736119, 2.0726781086531325, 13.45648581038224, 8.751439195109278, 0.09609558873707022]",4300.38353033188,0.11728407582807478,3265.1959447948734,0.13825450493535507
2021-03-18,"[0.07316680774319183, 90.9832139806127, 216.612426739178, 7.6412290268123, 0.9843565002680409]",3079.009195830814,0.2383050987269504,3997.708964636127,0.2337429637292567
2021-03-19,"[8.743771310974158e-05, 154.54972475760428, 176.2833744185002, 5.919542865477386, 0.9945579568796928]",3446.125609100054,0.20197844691567782,5895.433997189173,0.2318681561669019
2021-03-22,"[0.09497028915535621, 0.8468623990485872, 49.83920631268744, 5.097868809283156, 0.17584770498797622]",5777.320090154688,0.2909612299633088,4761.513887674607,0.2475030386066858
2021-03-23,"[0.09041098119748682, 1.0580311008629184, 83.50069630230976, 5.812818173918547, 0.09479479781854046]",4385.450347178871,0.2538002196612653,5463.792210644165,0.26836181765167477
2021-03-24,"[0.11090879076705448, 0.49953821033673995, 8147.79719010995, 4.678055452366829, 0.11015041909055448]",3456.97669255885,0.22290738448533684,4523.982520500434,0.26672897929822253
2021-03-25,"[0.10148180416339374, 0.6278288127884282, 72.88330714860912, 4.988033659095269, 1.6103556244263328e-12]",3994.6321761711047,0.2838031638046028,2560.264937830372,0.27212775793408406
2021-03-26,"[0.10186178350055547, 2.630782360715469, 475.3372150765037, 5.07011153675632, 0.735327028112566]",2438.1542320870126,0.26305674431252873,4911.323641562205,0.25241924131280596
2021-03-29,"[0.09850719113929648, 2.34792987087287, 601.1803762668292, 5.578681843426168, 0.6933497738466872]",4631.840267461113,0.2648104199109259,4608.986664400039,0.21512996512704827
2021-03-30,"[0.08596216815294688, 0.8376850664020595, 22.129458050558842, 5.2733642633405715, 0.05869142730982601]",4165.699525771606,0.23017307200187742,3902.567787463838,0.22864661270859585
2021-03-31,"[0.06391841607517915, 11.770542209028758, 2.0000000000069362, 28.33365621496354, 9.47280147602244e-13]",5134.009825181695,0.3512297632579313,4819.459475711482,0.4218724842347034
2021-04-01,"[0.11585207649988485, 0.6337827524738961, 119.72430707046429, 5.675120249093236, 1.228261737119759e-10]",4017.3269192910925,0.17911152661670485,5285.089179307162,0.15111862618246052
2021-04-06,"[0.043576841114794256, 48.129898953091114, 128.05478708475854, 6.953571644920983, 0.9755843180063002]",4700.95319931252,0.17367353159916837,5812.2970885495015,0.21414046130790204
2021-04-07,"[0.09482625602043407, 0.7511588414786278, 69.95926840366326, 6.1409455029964475, 0.00018357825827462458]",4726.31368123743,0.24268021218941574,3308.8488544228753,0.17538858450127776
2021-04-08,"[0.10066459434287084, 0.9987114108873903, 46.078678251839094, 7.206963217614965, 0.0002591079791100715]",3122.184345749391,0.14819256660914162,3860.037601949517,0.17759145663523748
2021-04-09,"[0.05493103439111681, 125.89007548512886, 206.76283515082133, 6.47811323404045, 0.993063003024141]",3796.5406938181764,0.1710067453395005,2957.7054488062017,0.17920456277773977
2021-04-12,"[0.10177270579869437, 0.7296742692069291, 15.25138234914928, 5.984488995892705, 0.07196681486850473]",2855.252293415099,0.16793832165116715,3831.950697771107,0.16791291927460292
2021-04-13,"[0.09884313214976403, 0.9808997885559021, 80.82191017662551, 7.1173495668333615, 6.015119540409883e-11]",3683.967531991217,0.18465887083936802,3446.494072533473,0.20822779291449253
2021-04-14,"[0.10581966566731506, 0.8814012598326546, 116.40534686008414, 6.387130667084854, 0.1058447910360824]",3428.5643031344366,0.19229014659648402,5026.160311262928,0.19732849708474526
2021-04-15,"[0.03726696823187439, 9.834681950115204, 1.0000026270862454, 24.444339466861166, 3.8184373066948934e-17]",6601.188389340937,0.2544325962852455,4239.7967560673205,0.22804518761635456
2021-04-16,"[0.08344107903483919, 9.273999024527747, 117.60628167614206, 7.463786835628706, 0.8701771254171272]",3002.4260270162235,0.21315871809419829,4307.4360256707405,0.1901819567246313
