timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.011.012.0,14.0,14.330505,-1.9997356,10.0
2021.09.07.0,9.300003,12.4956665,-1.9415424,0.0
2021.02.023.0,9.46022,12.302567,2.473512,33.0
2021.012.03.0,0.19999695,2.8979187,-3.3152182,0.0
2021.05.03.0,362.26572,344.87442,0.88095784,0.0
2021.010.022.0,0.5,2.6095886,-2.8305633,0.0
2021.012.03.0,6.3992615,5.920761,2.2483141,529.0
2021.08.017.0,13.5,22.286697,-1.8229132,12.0
2021.011.012.0,148.0,175.86874,-1.1147406,0.0
2021.011.012.0,352.0,368.42587,0.58809733,0.0
2021.09.030.0,11.0,22.026993,-1.8336031,6.0
2021.011.012.0,577.0,568.14325,0.17797959,0.0
2021.012.03.0,14.0,41.874146,1.5441939,0.0
2021.07.027.0,241.0,253.58032,1.0313085,0.0
2021.010.022.0,12.0,15.219772,-1.8973987,106.0
2021.010.022.0,36.6075,26.828247,1.4604692,336.0
2021.09.030.0,5.699997,6.6133575,-2.3695018,0.0
2021.09.07.0,133.0,184.8009,-1.0768683,1.0
2021.05.024.0,655.0,692.0991,-0.34139204,2.0
2021.02.023.0,320.0,335.59222,-0.7656839,0.0
2021.05.024.0,356.32016,370.12732,0.44666445,0.0
2021.05.024.0,4.5,5.232773,-2.3422487,25.0
2021.08.017.0,11.5,16.98375,-1.6666031,865.0
2021.012.024.0,418.0,452.36395,0.1858486,0.0
2021.09.030.0,257.0,267.58087,0.6439246,0.0
2021.01.022.0,356.8681,273.22394,0.8221638,18.0
2021.04.09.0,20.0,16.277313,-1.7829101,0.0
2021.08.017.0,159.85135,76.554,0.88100207,726.0
2021.02.023.0,690.203,630.39813,0.36896396,5.0
2021.011.012.0,192.97238,187.21829,0.7583375,3.0
2021.05.03.0,46.5,45.34117,-1.5439818,30.0
2021.03.017.0,218.96451,138.44415,0.45224905,1538.0
2021.05.03.0,15.499512,20.884949,2.5013494,0.0
2021.09.030.0,247.0,236.33624,0.73089933,0.0
2021.09.030.0,257.0,248.6976,0.02871418,0.0
2021.05.03.0,68.17772,66.23252,1.8940284,80.0
2021.01.022.0,34.63382,37.745316,1.8774161,1.0
2021.08.017.0,454.61273,393.53305,0.7457011,0.0
2021.011.012.0,526.028,562.818,0.26728952,10.0
2021.01.022.0,365.0,401.39462,-0.12301695,181.0
2021.012.024.0,42.95137,42.44934,1.2907004,1067.0
2021.09.030.0,285.0,320.04755,-0.45260954,56.0
2021.07.06.0,117.0,140.35898,0.91942126,0.0
2021.03.017.0,97.34938,82.81739,1.2236929,0.0
2021.05.03.0,602.2659,495.1996,0.4146949,5.0
2021.05.03.0,605.0,672.4958,0.025422573,0.0
2021.06.015.0,814.829,782.38934,0.07085407,1.0
2021.05.03.0,282.33798,279.36786,1.0528119,3.0
2021.02.023.0,327.0,309.14014,-0.01747024,2435.0
2021.07.06.0,52.232857,55.380142,1.501844,6.0
2021.07.027.0,46.0,45.040985,-1.7501149,0.0
2021.06.015.0,18.5,20.886993,-1.697258,28.0
2021.01.022.0,51.657433,23.604324,1.4157686,5265.0
2021.05.024.0,34.76851,23.506866,1.6788496,192.0
2021.010.022.0,152.0,156.2148,0.86165315,0.0
2021.07.06.0,82.0,118.043884,1.3653151,0.0
2021.03.017.0,72.283,34.918243,1.1955147,763.0
