timestamp,true_price,estimated_price,moneyness,time_to_maturity,volume,underlying_price,cp_flag
2021.03.017.0,171.0,255.71501,-0.6110141,0.17534247,1.0,9.691593,0.0
2021.012.024.0,6.2999988,5.429328,-2.1897306,0.15068494,0.0,9.793784,0.0
2021.02.023.0,1.5,1.0356314,-2.7909393,0.0630137,4.0,9.704122,1.0
2021.01.022.0,4.4,4.5327754,-2.347035,0.07397261,204.0,9.6883745,1.0
2021.07.06.0,66.00001,50.122604,-0.7352534,0.04383561,3340.0,9.792444,0.0
2021.02.023.0,8.5,7.6864367,-1.9590112,0.0630137,88.0,9.704122,0.0
2021.07.027.0,137.00002,139.3467,-1.2359369,0.3890411,0.0,9.741792,1.0
2021.03.017.0,380.0,445.6084,-0.5313629,0.50136983,5.0,9.660141,0.0
2021.012.024.0,9.0,7.746338,-2.1227353,0.22739726,3.0,9.790207,0.0
2021.011.012.0,5.9000006,9.844883,-1.9335538,0.093150675,214.0,9.7668085,0.0
2021.010.022.0,292.99994,313.92648,-0.7745066,0.64931506,0.0,9.715651,0.0
2021.05.024.0,1219.9999,1442.0568,0.14873576,0.569863,0.0,9.654449,1.0
2021.01.022.0,80.0,61.47185,-1.2802317,0.15068494,132.0,9.683339,1.0
2021.07.027.0,125.00001,127.85878,-1.289742,0.3890411,0.0,9.741792,1.0
2021.09.030.0,310.0,287.7089,-0.5394354,0.2109589,5.0,9.72669,1.0
2021.03.017.0,78.000015,76.56127,-1.2236897,0.17534247,0.0,9.691593,1.0
2021.08.017.0,740.0001,652.1603,-0.1897468,0.58082193,4.0,9.709964,1.0
2021.05.03.0,46.999992,132.16559,-0.55421597,0.05479452,3377.0,9.774005,0.0
2021.011.012.0,594.9999,630.16907,0.07247436,0.1890411,0.0,9.763651,0.0
2021.07.06.0,69.99999,82.913155,-1.2106204,0.12054794,150.0,9.77985,1.0
2021.07.06.0,28.000002,33.671494,-1.6753197,0.12054794,21.0,9.77985,1.0
2021.09.030.0,1.0,0.7042155,-2.4845402,0.057534248,1.0,9.730502,0.0
2021.05.03.0,4.4,3.4465396,-2.408542,0.05479452,23.0,9.774005,1.0
2021.09.07.0,1119.9999,1162.0571,0.19166207,0.52328765,0.0,9.754756,0.0
2021.010.022.0,205.0,223.46889,-1.101687,0.64931506,8.0,9.715651,1.0
2021.05.024.0,65.000015,64.73922,-1.4964536,0.32054794,1.0,9.667766,0.0
2021.012.024.0,1.0,3.047714,-2.6996007,0.07397261,529.0,9.795568,1.0
2021.012.024.0,1800.0002,1658.3937,1.0557516,0.22739726,0.0,9.790207,0.0
2021.03.017.0,5.7,11.682458,-1.9392391,0.09863014,167.0,9.695232,0.0
2021.07.06.0,48.0,60.984516,-1.3809979,0.12054794,1.0,9.77985,1.0
2021.08.017.0,125.999985,107.532135,-1.2748518,0.33150685,0.0,9.71396,1.0
2021.09.07.0,41.0,43.741913,-1.5998225,0.12054794,14.0,9.76612,1.0
2021.04.09.0,1049.9999,1144.2004,0.72043204,0.1890411,0.0,9.730621,0.0
2021.011.012.0,337.00006,360.80328,-0.7323402,0.5917808,0.0,9.752257,1.0
2021.06.015.0,182.99997,216.18837,-0.7461382,0.2630137,5.0,9.725855,1.0
2021.06.015.0,25.999998,26.2924,-1.7695827,0.2630137,6.0,9.725855,0.0
2021.05.03.0,16.500002,12.442234,-1.9530354,0.05479452,288.0,9.774005,1.0
2021.07.06.0,16.500002,19.112665,-2.1335754,0.19726028,50.0,9.773948,1.0
2021.07.06.0,3220.0012,3279.1853,1.7574127,0.19726028,0.0,9.773948,0.0
2021.07.06.0,277.00006,293.13382,-0.8029905,0.44657534,0.0,9.76319,1.0
2021.06.015.0,765.00006,728.0066,0.09299731,0.2630137,0.0,9.725855,0.0
2021.010.022.0,4.5,4.512296,-2.2525768,0.07397261,202.0,9.729908,1.0
2021.011.012.0,321.99994,341.78546,-0.57108223,0.34246576,10.0,9.758808,0.0
2021.07.06.0,18.0,18.541218,-2.0560446,0.19726028,0.0,9.773948,1.0
2021.09.07.0,259.0,240.5448,-1.0057065,0.52328765,2.0,9.754756,1.0
2021.08.017.0,174.99997,244.29158,-0.5618046,0.1780822,16.0,9.71776,0.0
2021.09.030.0,65.000015,67.07379,-1.3519493,0.2109589,32.0,9.72669,0.0
2021.08.017.0,32.0,48.081573,-1.4332716,0.1780822,4.0,9.71776,0.0
2021.08.017.0,18.0,11.304654,-2.0182834,0.08219178,53.0,9.720646,1.0
2021.05.03.0,1670.0,1972.8011,0.59852433,0.63013697,0.0,9.731512,0.0
2021.05.024.0,75.00001,76.48775,-1.4805084,0.569863,0.0,9.654449,0.0
2021.03.017.0,1800.0002,1930.9904,0.63552773,0.50136983,0.0,9.660141,0.0
2021.09.030.0,40.500004,38.34136,-1.5459241,0.2109589,82.0,9.72669,0.0
2021.08.017.0,2.0,1.4641254,-2.518532,0.08219178,0.0,9.720646,0.0
2021.07.06.0,3.0,2.4991615,-2.4765754,0.04383561,127.0,9.792444,1.0
2021.012.024.0,39.500004,68.394516,-1.4119952,0.15068494,3.0,9.793784,1.0
2021.012.024.0,5.799999,13.930357,-2.0900126,0.07397261,100.0,9.795568,1.0
2021.09.030.0,6.1000004,5.4847136,-2.0056758,0.057534248,44.0,9.730502,1.0
2021.02.023.0,484.99994,396.28662,0.21015882,0.0630137,0.0,9.704122,0.0
2021.09.07.0,1.5999999,3.9105563,-2.1155777,0.024657533,693.0,9.769728,0.0
2021.09.030.0,176.00002,134.08446,-0.73573357,0.13424657,4.0,9.728479,1.0
2021.011.012.0,1520.0,1466.8445,0.5880978,0.34246576,0.0,9.758808,0.0
2021.07.027.0,295.00003,292.91824,-0.8914535,0.63835615,0.0,9.733647,1.0
2021.09.030.0,132.00002,96.203,-0.9545346,0.13424657,27.0,9.728479,1.0
2021.011.012.0,35.000004,40.86588,-1.5121734,0.1890411,8.0,9.763651,0.0
2021.09.07.0,125.999985,132.90976,-1.2327074,0.2739726,0.0,9.761579,1.0
2021.012.024.0,416.00006,358.50882,-0.4649992,0.47671232,0.0,9.783013,0.0
2021.010.022.0,24.499996,25.731237,-1.9349344,0.4,0.0,9.721366,0.0
2021.06.015.0,45.000004,38.39617,-1.328167,0.10958904,174.0,9.747067,0.0
2021.012.024.0,7.700001,6.61663,-2.190246,0.22739726,0.0,9.790207,0.0
2021.011.012.0,620.0,613.6077,-0.17852211,0.34246576,0.0,9.758808,0.0
2021.01.022.0,220.00003,219.06595,-0.9622884,0.64931506,0.0,9.644652,0.0
2021.09.030.0,1.0,1.347312,-2.570843,0.057534248,67.0,9.730502,0.0
2021.012.024.0,59.000008,49.169556,-1.1169121,0.15068494,19.0,9.793784,0.0
2021.07.027.0,71.000015,65.207886,-1.1182382,0.0630137,1543.0,9.752781,1.0
2021.08.017.0,216.00002,261.2068,-0.76812565,0.33150685,40.0,9.71396,0.0
2021.011.012.0,132.00002,146.65353,-1.1434536,0.34246576,5.0,9.758808,1.0
2021.02.023.0,38.0,39.252453,-1.7880538,0.31232876,0.0,9.692149,1.0
2021.03.017.0,22.000002,28.670189,-1.7896357,0.25205478,0.0,9.687444,0.0
2021.010.022.0,54.000004,56.62275,-1.4534507,0.15068494,20.0,9.72836,1.0
2021.09.07.0,2.4,2.2408664,-2.2641714,0.024657533,92.0,9.769728,1.0
2021.011.012.0,443.0,512.0503,0.18245077,0.093150675,0.0,9.7668085,0.0
