timestamp,true_price,estimated_price,strike_price,time_to_maturity,volume,underlying_price
2021.01.019.0,110.0,98.25827,14200.0,0.1589041,31.0,15478.0
2021.01.020.0,124.0,85.883545,14200.0,0.15616438,47.0,15768.0
2021.01.019.0,117.0,106.40756,14300.0,0.1589041,31.0,15478.0
2021.01.020.0,130.0,93.597305,14300.0,0.15616438,25.0,15768.0
2021.01.019.0,127.0,164.68526,14400.0,0.1589041,6.0,15478.0
2021.01.020.0,142.0,141.18465,14400.0,0.15616438,28.0,15768.0
2021.01.019.0,140.0,125.46771,14500.0,0.1589041,12.0,15478.0
2021.01.020.0,161.0,106.687454,14500.0,0.15616438,1519.0,15768.0
2021.01.019.0,160.0,137.56404,14600.0,0.1589041,3.0,15478.0
2021.01.020.0,146.0,126.496155,14600.0,0.15616438,20.0,15768.0
2021.01.019.0,187.0,150.891,14700.0,0.1589041,8.0,15478.0
2021.01.020.0,187.0,138.50461,14700.0,0.15616438,1.0,15768.0
2021.01.019.0,370.0,417.1751,16000.0,0.1589041,15.0,15478.0
2021.01.020.0,328.0,433.50278,16000.0,0.15616438,63.0,15768.0
2021.01.019.0,310.0,340.8498,16200.0,0.1589041,131.99998,15478.0
2021.01.020.0,245.0,356.78366,16200.0,0.15616438,24.0,15768.0
2021.01.019.0,237.0,271.00583,16400.0,0.1589041,4.0,15478.0
2021.01.020.0,194.0,284.54926,16400.0,0.15616438,69.0,15768.0
2021.01.019.0,140.0,155.26328,16800.0,0.1589041,24.0,15478.0
2021.01.020.0,112.0,164.47672,16800.0,0.15616438,49.0,15768.0
2021.01.019.0,106.0,111.985855,17000.0,0.1589041,33.0,15478.0
2021.01.020.0,80.0,119.25673,17000.0,0.15616438,154.0,15768.0
2021.01.019.0,67.0,61.117645,17400.0,0.1589041,25.0,15478.0
2021.01.020.0,48.0,62.312088,17400.0,0.15616438,175.0,15768.0
2021.01.019.0,640.0,687.27966,15800.0,0.40821916,0.0,15292.0
2021.01.020.0,580.0,699.04895,15800.0,0.40547946,5.0,15571.0
2021.01.019.0,487.0,522.17645,16200.0,0.40821916,0.0,15292.0
2021.01.020.0,432.0,538.06525,16200.0,0.40547946,0.0,15571.0
2021.01.019.0,665.0,693.08826,15800.0,0.65753424,0.0,14870.0
2021.01.020.0,605.0,707.0057,15800.0,0.6547945,0.0,15178.0
2021.01.018.0,391.0,535.4062,16200.0,0.6657534,2.0,14863.0
2021.01.019.0,482.0,545.6809,16200.0,0.65753424,0.0,14870.0
2021.01.020.0,468.0,561.55066,16200.0,0.6547945,0.0,15178.0
2021.01.020.0,9.0,19.81781,12100.0,0.07945205,24.0,15847.0
2021.01.019.0,12.0,51.986298,12200.0,0.08219178,40.0,15559.0
2021.01.020.0,9.5,45.91919,12200.0,0.07945205,14.0,15847.0
2021.01.019.0,103.0,66.36415,14900.0,0.08219178,613.0,15559.0
2021.01.020.0,114.0,59.448944,14900.0,0.07945205,1350.0,15847.0
2021.01.019.0,395.0,377.44357,13400.0,0.65753424,0.0,14870.0
2021.01.020.0,429.0,362.88382,13400.0,0.6547945,0.0,15178.0
2021.01.020.0,18.0,64.394424,17200.0,0.07945205,194.0,15847.0
2021.01.020.0,12.5,55.969025,17400.0,0.07945205,87.999985,15847.0
2021.01.019.0,11.0,23.542664,9600.0,0.1589041,2.0,15478.0
2021.01.020.0,15.0,20.42746,9600.0,0.15616438,3.0,15768.0
2021.01.019.0,14.5,24.763123,9800.0,0.1589041,28.0,15478.0
2021.01.020.0,16.0,19.71576,9800.0,0.15616438,32.0,15768.0
2021.01.019.0,18.5,23.867554,10200.0,0.1589041,0.0,15478.0
2021.01.020.0,17.0,20.790283,10200.0,0.15616438,2.0,15768.0
2021.01.019.0,23.5,29.937073,11400.0,0.1589041,0.0,15478.0
2021.01.020.0,25.5,21.136963,11400.0,0.15616438,6.0,15768.0
2021.01.019.0,44.5,62.90555,13100.0,0.1589041,3.0,15478.0
2021.01.020.0,52.0,69.07039,13100.0,0.15616438,77.0,15768.0
2021.01.020.0,112.0,78.69931,14100.0,0.15616438,49.0,15768.0
2021.01.019.0,192.0,170.93997,14800.0,0.1589041,2.0,15478.0
2021.01.020.0,213.0,155.72046,14800.0,0.15616438,5.0,15768.0
2021.01.020.0,146.0,220.71027,16600.0,0.15616438,57.999985,15768.0
2021.01.019.0,77.0,83.81491,17200.0,0.1589041,7.0,15478.0
2021.01.020.0,59.0,86.73131,17200.0,0.15616438,12.0,15768.0
2021.01.019.0,850.0,886.067,15400.0,0.65753424,1.0,14870.0
2021.01.020.0,770.0,908.2274,15400.0,0.6547945,0.0,15178.0
2021.01.019.0,390.0,366.0447,15800.0,0.08219178,1255.0,15559.0
2021.01.020.0,320.0,384.89847,15800.0,0.07945205,0.0,15847.0
2021.01.019.0,17.5,30.229645,10600.0,0.1589041,9.0,15478.0
2021.01.020.0,17.0,21.830353,10600.0,0.15616438,4.0,15768.0
2021.01.020.0,34.5,20.333069,12300.0,0.15616438,1.0,15768.0
2021.01.019.0,40.5,41.88443,12900.0,0.1589041,2.0,15478.0
2021.01.020.0,45.0,32.517212,12900.0,0.15616438,34.0,15768.0
2021.01.019.0,580.0,578.3001,15600.0,0.1589041,5.0,15478.0
2021.01.020.0,515.0,601.9331,15600.0,0.15616438,0.0,15768.0
2021.01.019.0,472.0,500.13757,15800.0,0.1589041,13.0,15478.0
