,timestamp,true price,estimated price,strike price,time to maturity
10862,2021.011.03.0,51.268536,48.80767,15296.777,0.10539725
10863,2021.011.01.0,8.703064,18.118408,15391.738,0.048674982
10864,2021.011.02.0,9.161743,7.0822754,15391.738,0.0415847
10865,2021.011.03.0,6.2261887,10.522026,15391.738,0.03922127
10866,2021.011.01.0,59.52477,71.14091,15391.738,0.11485095
10867,2021.011.02.0,65.94629,50.928055,15391.738,0.10776067
10868,2021.011.03.0,54.020615,57.268143,15391.738,0.10539725
10869,2021.011.01.0,9.620415,22.422379,15486.7,0.048674982
10870,2021.011.02.0,9.987366,11.770897,15486.7,0.0415847
10871,2021.011.03.0,6.684868,11.787979,15486.7,0.03922127
10872,2021.011.01.0,69.61572,77.80021,15486.7,0.11485095
10873,2021.011.02.0,67.781006,60.230015,15486.7,0.10776067
10874,2021.011.03.0,62.276848,56.825996,15486.7,0.10539725
10875,2021.011.01.0,11.363403,22.73809,15581.662,0.048674982
10876,2021.011.02.0,11.8220825,11.310333,15581.662,0.0415847
10877,2021.011.03.0,7.785698,15.079277,15581.662,0.03922127
10878,2021.011.02.0,75.11988,61.432602,15581.662,0.10776067
10879,2021.011.03.0,68.698364,60.84326,15581.662,0.10539725
10880,2021.011.01.0,13.19812,23.8321,15676.624,0.048674982
10881,2021.011.02.0,14.574158,11.97802,15676.624,0.0415847
10882,2021.011.03.0,8.978264,14.805809,15676.624,0.03922127
10883,2021.011.01.0,80.62404,92.92123,15676.624,0.11485095
10884,2021.011.02.0,82.458755,71.26533,15676.624,0.10776067
10885,2021.011.03.0,75.11988,71.00244,15676.624,0.10539725
10886,2021.011.01.0,14.574158,28.994904,15771.586,0.048674982
10887,2021.011.02.0,15.491524,15.421219,15771.586,0.0415847
10888,2021.011.03.0,10.446045,19.94239,15771.586,0.03922127
10889,2021.011.02.0,92.549706,78.52224,15771.586,0.10776067
10890,2021.011.03.0,81.5414,80.59914,15771.586,0.10539725
10891,2021.011.01.0,17.32624,29.71791,15866.548,0.048674982
10892,2021.011.02.0,18.243599,20.206879,15866.548,0.0415847
10893,2021.011.03.0,12.739441,21.149231,15866.548,0.03922127
10894,2021.011.01.0,99.88858,107.28525,15866.548,0.11485095
10895,2021.011.02.0,102.64066,83.67221,15866.548,0.10776067
10896,2021.011.03.0,89.79763,84.89631,15866.548,0.10539725
10897,2021.011.01.0,20.078316,33.118515,15961.51,0.048674982
10898,2021.011.02.0,20.536995,23.11052,15961.51,0.0415847
10899,2021.011.03.0,14.574158,25.701878,15961.51,0.03922127
10900,2021.011.01.0,110.8969,118.28967,15961.51,0.11485095
10901,2021.011.02.0,108.14481,102.003075,15961.51,0.10776067
10902,2021.011.03.0,98.05386,93.39315,15961.51,0.10539725
10903,2021.011.01.0,23.747757,37.604218,16056.472,0.048674982
10904,2021.011.02.0,24.206432,24.094765,16056.472,0.0415847
10905,2021.011.03.0,17.32624,22.734219,16056.472,0.03922127
10906,2021.011.01.0,121.905205,139.2012,16056.472,0.11485095
10907,2021.011.02.0,125.574646,113.652336,16056.472,0.10776067
10908,2021.011.03.0,108.14481,114.75808,16056.472,0.10539725
10909,2021.011.01.0,28.334553,41.511047,16151.434,0.048674982
10910,2021.011.02.0,28.793228,23.876572,16151.434,0.0415847
10911,2021.011.03.0,20.536995,27.9637,16151.434,0.03922127
10912,2021.011.03.0,122.82257,127.45687,16151.434,0.10539725
10913,2021.011.01.0,33.83871,51.965015,16246.3955,0.048674982
10914,2021.011.02.0,34.756065,29.663837,16246.3955,0.0415847
10915,2021.011.03.0,25.582474,34.31223,16246.3955,0.03922127
10916,2021.011.01.0,153.09543,168.3977,16246.3955,0.11485095
10917,2021.011.02.0,154.01279,139.46782,16246.3955,0.10776067
10918,2021.011.03.0,134.74823,139.99966,16246.3955,0.10539725
10919,2021.011.01.0,40.718903,50.547276,16341.356,0.048674982
10920,2021.011.02.0,42.09494,34.45189,16341.356,0.0415847
10921,2021.011.03.0,31.086628,35.407955,16341.356,0.03922127
10922,2021.011.03.0,149.426,145.62164,16341.356,0.10539725
10923,2021.011.01.0,50.351173,60.85727,16436.318,0.048674982
10924,2021.011.02.0,50.351173,40.90199,16436.318,0.0415847
10925,2021.011.03.0,39.342865,39.148197,16436.318,0.03922127
10926,2021.011.01.0,187.03772,204.57672,16436.318,0.11485095
10927,2021.011.02.0,186.12036,180.1065,16436.318,0.10776067
10928,2021.011.03.0,169.6079,171.21419,16436.318,0.10539725
10929,2021.011.01.0,59.52477,72.50805,16531.281,0.048674982
10930,2021.011.02.0,61.35949,50.929337,16531.281,0.0415847
10931,2021.011.03.0,48.516457,48.77199,16531.281,0.03922127
10932,2021.011.01.0,209.97171,222.86226,16531.281,0.11485095
10933,2021.011.02.0,208.13698,191.34586,16531.281,0.10776067
10934,2021.011.03.0,187.95508,188.35225,16531.281,0.10539725
10935,2021.011.01.0,74.20252,86.746506,16626.242,0.048674982
10936,2021.011.02.0,76.03724,54.56546,16626.242,0.0415847
10937,2021.011.03.0,58.607407,49.85596,16626.242,0.03922127
10938,2021.011.01.0,225.5668,225.0925,16626.242,0.11485095
10939,2021.011.02.0,233.82304,192.24442,16626.242,0.10776067
10940,2021.011.03.0,208.13698,194.02826,16626.242,0.10539725
10941,2021.011.01.0,89.79763,101.44536,16721.205,0.048674982
10942,2021.011.02.0,93.467064,70.14519,16721.205,0.0415847
10943,2021.011.03.0,75.11988,66.864624,16721.205,0.03922127
10944,2021.011.01.0,265.01324,258.68512,16721.205,0.11485095
10945,2021.011.02.0,263.17853,238.09856,16721.205,0.10776067
10946,2021.011.03.0,233.82304,232.18242,16721.205,0.10539725
10947,2021.011.01.0,112.73161,129.88956,16816.166,0.048674982
10948,2021.011.02.0,117.31841,90.47046,16816.166,0.0415847
10949,2021.011.03.0,94.38442,84.15734,16816.166,0.03922127
10950,2021.011.01.0,287.94727,283.64975,16816.166,0.11485095
10951,2021.011.02.0,288.86462,257.53497,16816.166,0.10776067
10952,2021.011.03.0,259.5091,241.48631,16816.166,0.10539725
10953,2021.011.01.0,138.41768,143.93652,16911.127,0.048674982
10954,2021.011.02.0,143.92183,110.52066,16911.127,0.0415847
10955,2021.011.03.0,117.31841,105.71792,16911.127,0.03922127
10956,2021.011.02.0,325.55896,273.674,16911.127,0.10776067
10957,2021.011.03.0,299.87292,273.85474,16911.127,0.10539725
10958,2021.011.01.0,172.35997,154.5451,17006.09,0.048674982
10959,2021.011.02.0,176.94678,138.64505,17006.09,0.0415847
10960,2021.011.03.0,150.34335,124.37084,17006.09,0.03922127
10961,2021.011.01.0,353.07977,305.80923,17006.09,0.11485095
10962,2021.011.02.0,364.08807,302.42288,17006.09,0.10776067
10963,2021.011.03.0,331.06314,303.69577,17006.09,0.10539725
10964,2021.011.01.0,197.12868,150.37866,17101.05,0.048674982
10965,2021.011.02.0,172.35997,182.27498,17101.05,0.0415847
10966,2021.011.03.0,182.45093,165.50778,17101.05,0.03922127
10967,2021.011.03.0,340.23672,277.76328,17101.05,0.10539725
10968,2021.011.01.0,148.50864,121.02011,17196.014,0.048674982
10969,2021.011.02.0,130.16144,148.84021,17196.014,0.0415847
10970,2021.011.03.0,135.6656,131.79141,17196.014,0.03922127
10971,2021.011.01.0,308.12915,245.34926,17196.014,0.11485095
10972,2021.011.02.0,280.60837,274.37415,17196.014,0.10776067
10973,2021.011.03.0,275.10422,260.20944,17196.014,0.10539725
10974,2021.011.01.0,113.64897,91.50493,17290.975,0.048674982
10975,2021.011.02.0,96.21915,125.529465,17290.975,0.0415847
10976,2021.011.03.0,97.136505,95.02969,17290.975,0.03922127
10977,2021.011.01.0,257.67438,216.55731,17290.975,0.11485095
10978,2021.011.02.0,225.5668,244.04457,17290.975,0.10776067
10979,2021.011.03.0,245.7487,217.55153,17290.975,0.10539725
10980,2021.011.01.0,82.458755,68.55912,17385.938,0.048674982
10981,2021.011.02.0,68.698364,93.1824,17385.938,0.0415847
10982,2021.011.03.0,68.698364,67.99451,17385.938,0.03922127
10983,2021.011.01.0,218.22794,180.9043,17385.938,0.11485095
10984,2021.011.02.0,198.96341,199.64906,17385.938,0.10776067
10985,2021.011.03.0,209.97171,185.40884,17385.938,0.10539725
10986,2021.011.01.0,59.52477,42.863327,17480.898,0.048674982
10987,2021.011.02.0,47.5991,62.76468,17480.898,0.0415847
10988,2021.011.03.0,47.5991,44.963776,17480.898,0.03922127
10989,2021.011.02.0,162.26901,176.67693,17480.898,0.10776067
10990,2021.011.03.0,173.27734,155.93117,17480.898,0.10539725
10991,2021.011.01.0,41.63626,31.431652,17575.861,0.048674982
10992,2021.011.02.0,32.921345,45.224224,17575.861,0.0415847
10993,2021.011.03.0,31.545307,31.78983,17575.861,0.03922127
10994,2021.011.01.0,161.35165,113.24918,17575.861,0.11485095
10995,2021.011.02.0,136.58295,141.8765,17575.861,0.10776067
10996,2021.011.03.0,138.41768,131.09518,17575.861,0.10539725
10997,2021.011.01.0,29.251907,25.578312,17670.822,0.048674982
10998,2021.011.02.0,22.830395,34.30392,17670.822,0.0415847
10999,2021.011.03.0,20.536995,27.75565,17670.822,0.03922127
11000,2021.011.01.0,126.492004,102.79239,17670.822,0.11485095
11001,2021.011.02.0,109.06218,117.52457,17670.822,0.10776067
11002,2021.011.03.0,109.06218,99.322464,17670.822,0.10539725
11003,2021.011.01.0,20.995674,22.4421,17765.783,0.048674982
11004,2021.011.02.0,15.491524,25.705147,17765.783,0.0415847
11005,2021.011.03.0,13.656799,20.432724,17765.783,0.03922127
11006,2021.011.01.0,103.55802,80.22512,17765.783,0.11485095
11007,2021.011.02.0,90.71499,97.76958,17765.783,0.10776067
11008,2021.011.03.0,88.88027,83.239235,17765.783,0.10539725
11009,2021.011.01.0,14.574158,19.857368,17860.746,0.048674982
11010,2021.011.02.0,11.363403,19.332214,17860.746,0.0415847
11011,2021.011.03.0,9.345215,14.436073,17860.746,0.03922127
11012,2021.011.02.0,73.28516,80.110146,17860.746,0.10776067
11013,2021.011.03.0,71.45044,70.73123,17860.746,0.10539725
11014,2021.011.01.0,10.446045,15.133858,17955.707,0.048674982
11015,2021.011.02.0,8.152641,14.541214,17955.707,0.0415847
11016,2021.011.03.0,6.501396,12.22979,17955.707,0.03922127
11017,2021.011.01.0,66.86365,51.336594,17955.707,0.11485095
11018,2021.011.02.0,58.607407,62.95542,17955.707,0.10776067
11019,2021.011.03.0,54.937973,52.408978,17955.707,0.10539725
11020,2021.011.01.0,245.7487,201.81007,17955.707,0.32992285
11021,2021.011.02.0,264.0959,215.5192,17955.707,0.32283258
11022,2021.011.03.0,230.15361,239.31294,17955.707,0.32046914
11023,2021.011.01.0,7.4187546,12.234802,18050.67,0.048674982
11024,2021.011.02.0,5.7675095,12.065872,18050.67,0.0415847
11025,2021.011.03.0,4.850151,9.2304,18050.67,0.03922127
11026,2021.011.01.0,53.103252,36.83243,18050.67,0.11485095
