交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/04/01,CBO,202104  ,22.5000,賣權,-,-,-,-,0,0.01,3,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,23.0000,買權,-,-,-,-,0,2.81,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,23.5000,買權,-,-,-,-,0,2.32,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,23.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,24.0000,買權,-,-,-,-,0,1.85,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,24.0000,賣權,-,-,-,-,0,0.01,5,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,24.5000,買權,-,-,-,-,0,1.4,1,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,24.5000,賣權,-,-,-,-,0,0.03,10,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,25.0000,買權,-,-,-,-,0,1.01,10,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,25.0000,賣權,0.1,0.1,0.1,0.1,5,0.1,5,0.1,0.15,0.1,0.1,,一般,
2021/04/01,CBO,202104  ,26.0000,買權,-,-,-,-,0,0.42,20,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,26.0000,賣權,-,-,-,-,0,0.48,10,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,27.0000,買權,0.13,0.13,0.13,0.13,5,0.13,44,0.1,0.15,0.45,0.13,,一般,
2021/04/01,CBO,202104  ,27.0000,賣權,-,-,-,-,0,1.24,5,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,28.0000,買權,-,-,-,-,0,0.03,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,28.0000,賣權,-,-,-,-,0,2.2,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,29.0000,買權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,29.0000,賣權,-,-,-,-,0,3.19,0,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,30.0000,買權,-,-,-,-,0,0.01,5,-,-,-,-,,一般,
2021/04/01,CBO,202104  ,30.0000,賣權,-,-,-,-,0,4.19,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,21.0000,買權,-,-,-,-,0,4.82,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,21.5000,買權,-,-,-,-,0,4.32,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,22.0000,買權,-,-,-,-,0,3.83,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,22.5000,買權,-,-,-,-,0,3.35,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
